gene,logFC_limma,p_limma,FDR_limma,logFC_edgeR,p_edgeR,FDR_edgeR,agree_dir,mean_logFC,p_fisher,FDR_fisher
ENSG00000204531,-1.2366791307991158,0.36282736134718385,0.882390261677831,-0.8486232893028881,0.493336985388905,0.9999988525496899,TRUE,-1.042651210051002,0.4869395236924818,0.6174129346505066
ENSG00000204839,2.41248372483342,0.36285959166162274,0.882390261677831,3.4469357178288895,0.4316541217088854,0.9999988525496899,TRUE,2.9297097213311547,0.447001192832912,0.5873840399914396
ENSG00000171557,-2.088893599727497,0.36310216011340357,0.882390261677831,0.31540104188529333,0.7650245899736041,0.9999988525496899,FALSE,-0.8867462789211019,0.6335982471642635,0.7229146859442094
ENSG00000011347,2.2795633046525414,0.3634034631494976,0.8824475888933425,2.5755904155943474,0.21162592006871825,0.9999988525496899,TRUE,2.4275768601234446,0.274182024350236,0.45174253671773906
ENSG00000168453,-3.6137483728217537,0.363853469089025,0.8829593929048881,-8.343319452670224,0.10011314825064031,0.9999988525496899,TRUE,-5.978533912745989,0.15708783252433287,0.35286426878145266
ENSG00000128973,2.6601857241103937,0.36404393381596606,0.8830206198980222,0.7016944502149417,0.6371916829386091,0.9999988525496899,TRUE,1.6809400871626676,0.57090613672892,0.6764169861187985
ENSG00000237489,2.1619746855506534,0.3641175863709266,0.8830206198980222,2.431646659288612,0.1828511696558748,0.9999988525496899,TRUE,2.2968106724196327,0.24696676811005297,0.4307961216025749
ENSG00000133056,-2.5616366046182297,0.36486014065973477,0.8840587647326,-0.4459384089263415,0.7709753003138404,0.9999988525496899,TRUE,-1.5037875067722857,0.6380798932521742,0.7256192569566526
ENSG00000167925,2.2256945510489126,0.36495227939351316,0.8841218505503058,2.5810514611201834,0.22502472313837663,0.9999988525496899,TRUE,2.403373006084548,0.2873932037692716,0.46200634727151085
ENSG00000153815,1.7944264597285862,0.36581763015844726,0.884766171877429,1.4948282909105732,0.2707339703277459,0.9999988525496899,TRUE,1.6446273753195797,0.32804169241826814,0.4921378605901296
ENSG00000116151,1.0507611124876737,0.3658671866201064,0.884766171877429,1.0697898379985242,0.3709296856081863,0.9999988525496899,TRUE,1.060275475243099,0.4067567632008743,0.5561455228816078
ENSG00000149016,1.595859958190166,0.366259709765377,0.884766171877429,2.3330007127402426,0.054671891572127124,0.9999988525496899,TRUE,1.9644303354652042,0.09833476891325765,0.2955859789029642
ENSG00000132464,-2.6158554846834554,0.3663537806786447,0.884766171877429,-0.5415601646884788,0.7490494028700713,0.9999988525496899,TRUE,-1.5787078246859672,0.6292674919643726,0.7198413034762257
ENSG00000182010,-2.760266796703015,0.36638121614713365,0.884766171877429,-1.7022157610546247,0.4877335111360776,0.9999988525496899,TRUE,-2.23124127887882,0.48642356868302156,0.6171544470824345
ENSG00000008853,-2.63570378996747,0.366616426049123,0.884766171877429,-0.1775388300069238,0.9113786400714724,0.9999988525496899,TRUE,-1.406621309987197,0.7004077375135754,0.7663135957740692
ENSG00000144909,-2.435521576929722,0.36678601129777155,0.884766171877429,-2.42977879740421,0.16866061759358406,0.9999988525496899,TRUE,-2.432650187166966,0.23401560448566697,0.4194376871488338
ENSG00000174799,2.091268089638816,0.3668000832184614,0.884766171877429,0.5278197438478827,0.6973383664866564,0.9999988525496899,TRUE,1.3095439167433494,0.6045252052534311,0.7025264453748232
ENSG00000162998,2.528052148701191,0.36680362255410226,0.884766171877429,6.322063278767216,0.314397053902513,0.9999988525496899,TRUE,4.425057713734204,0.3644205941054832,0.5212036754300723
